# kind<TAB>input UTF-8 hex<TAB>expected canonical UTF-8 hex (! for reject)
A	7b2262223a322c2261223a317d	7b2261223a312c2262223a327d
A	22655c753033303122	22c3a922
A	225c75443833445c754445303022	22f09f988022
A	7b22ee8080223a312c22f09f9880223a327d	7b22f09f9880223a322c22ee8080223a317d
A	225c2f5c625c753030316622	222f5c625c753030316622
A	7b226e6573746564223a5b312c7b227a223a6e756c6c2c2261223a747275657d5d7d	7b226e6573746564223a5b312c7b2261223a747275652c227a223a6e756c6c7d5d7d
R	7b22c3a9223a312c22655c7530333031223a327d	21
R	225c754438303022	21
R	225c754443303022	21
R	225c75443830307822	21
R	2d30	21
R	3031	21
R	312e30	21
R	39323233333732303336383534373735383038	21
R	2261006222	21
R	5b312c5d	21
R	7b2261223a317d6a756e6b	21
